"genes","X30.deg","X37.deg","P_Value","Fold_Expression_Change"
"YER106W",0.407934485363866,1.00673027750821,0.0328044736794562,2.46787244920035
"YPR197C",0.11960088006847,0.292995501106839,0.0114303450441277,2.44977713323767
"YPR151C",0.305639072407599,0.748686997026543,0.000621769853080266,2.44957881572189
"YGL121C",8.15476682864959,19.86955591397,0.0157450798432405,2.43655721021521
"YDR402C",1.15891337041117,2.81320572711077,0.0163431698794719,2.42745126506969
"YOR339C",1.13391725485085,2.75095515298066,0.00172110861691157,2.42606340207999
"YFR012W",1.05458146096442,2.5516645846264,0.00149368102622927,2.41959931885479
"YJL088W",10.0172800176586,24.0858915046631,5.94471552231042e-06,2.40443428377805
"YAL005C",56.440426357978,133.922757282341,0.00797017756804382,2.37281618733574
"YLR365W",0.2545987988318,0.600349326397196,0.0142341917196693,2.35802104782833
"YDL222C",5.46766694021073,12.8664199770241,0.0113325624831691,2.35318283240716
"YIR027C",4.85232479390586,11.404904075683,0.000256429663460105,2.35039997528745
"YGR256W",4.12033496422444,9.6013647933824,0.000630408804378077,2.33023889483452
"YPR007C",2.62899613126636,6.12342135592461,0.00697272363785957,2.32918614185066
"YBR050C",0.883275821312348,2.05390123465409,0.00544716336694462,2.32532260602635
"YPR092W",0.239832373882516,0.556272171718502,0.0157723495218803,2.31942069668625
"YPL251W",0.0846411844024097,0.195281921735191,0.0226952356752483,2.30717378441636
"YNL093W",1.04590645514721,2.40669912694929,0.00704203747248771,2.30106537262986
"YBL049W",4.0840982119118,9.26634699988864,0.0361554048769091,2.26888446826821
"YDL021W",9.7966910671628,22.1575267083747,5.02263845644699e-05,2.26173577960867
"YDL024C",1.3574773850212,3.06898134254927,0.0017081473259155,2.26079739995178
"YHR015W",2.88139136360945,6.51418619076404,0.0026236000869622,2.26077799532372
"YPL092W",15.3129030152882,34.5297910022029,0.000706603367181074,2.25494741054187
"YJL027C",0.154515943855536,0.346781295001761,0.00863159361067038,2.24430752159779
"YOL058W",35.8647586938494,80.3483218661694,0.0429671985436088,2.24031402391531
"YOL104C",6.28449509257465,14.0697202219124,0.0251742591714279,2.23879882387628
"YNL333W",0.926237743197507,2.0705072054254,0.00751085291429288,2.23539498431332
"YKL097C",0.139029641402686,0.309034733224768,0.0387565090437461,2.22279745604521
"YDR010C",0.675265678680928,1.49071680680561,0.0298925249463881,2.20760043619808
"YGL230C",1.07168851196684,2.35767118343434,0.0022024260599488,2.19995936982414
"YBL071C",10.2921091233969,22.5947505518569,3.63063444180859e-06,2.19534696736674
"SCER_lnc0072",0.32438844132209,0.711748002123339,0.0350026221846728,2.19412257484426
"YHL022C",3.46265484682942,7.59452390099094,0.000797021697170538,2.19326621824432
"YGR144W",3.17445597255772,6.9598871218685,0.0202773312452421,2.19246610506958
"YAR030C",1.88909809646318,4.09374354718493,8.93101203863702e-05,2.16703598127029
"YNL281W",39.4770511218576,85.4872365021148,0.00104876890683687,2.16549195222898
"YJL043W",1.2164839237054,2.63242096643051,0.031883015193013,2.1639586969733
"YER103W",22.8955636412949,49.4436485672361,0.0042890720878327,2.15952965132767
"YKL178C",2.97439098388094,6.41332258103189,0.00468238251797724,2.15618007712755
"YHR157W",1.14741001192352,2.46912087784083,7.51285565928414e-05,2.15190808183867
"YJL045W",3.30983899105139,7.09603813443556,0.00108355328540734,2.14392245472384
"YOR303W",64.5762597438043,138.391647022195,0.00136961910127179,2.1430731289059
"YGL081W",2.14616987370215,4.56057962669568,2.42022256417062e-05,2.1249853902891
"YNL196C",3.66698039762339,7.77532739220624,0.00629626598444996,2.12036240969423
