"genes","Glucose","Ethanol","P_Value","Fold_Expression_Change"
"YAR029W",0.691773315485376,1.60495751443716,0.013770192317651,2.32006276985555
"YKR042W",652.934338015421,1510.54161864733,2.80265113466899e-08,2.31346634829865
"YDR157W",0.291703554271973,0.668381951174239,0.0138468290945248,2.29130547566474
"YDL048C",63.069107186793,144.166092015604,3.28771738257037e-07,2.28584323524074
"YML133C",0.736663346490302,1.67544776898763,0.00238819539861654,2.27437373797678
"YDR273W",16.5220891671895,37.5551999062669,3.04427920425168e-12,2.27302973166651
"YPR124W",66.1778359988347,150.383685592521,0.000113697179106027,2.27241769578517
"YCR005C",1537.12374482557,3492.04343017289,2.96417627507344e-16,2.27180371256913
"YDR019C",112.137321219373,252.661495012644,9.21236964601774e-18,2.25314366586629
"YMR095C",56.94988820064,128.192243756842,1.85198001442314e-08,2.25096567890016
"YGR239C",61.2415358789641,137.820309630974,8.83115835725378e-14,2.25043849166941
"YPR202W",1.10219107059686,2.46539102414796,0.000321973390049329,2.23680910680296
"YDR222W",75.1961955406252,168.033334651164,3.46226433675019e-11,2.23459888419997
"YLR194C",120.155544005314,268.304986304293,1.18474276924304e-07,2.23298049645072
"YFL030W",410.349816426099,914.605594737729,3.84484412355657e-12,2.2288436795303
"YDR112W",0.793294566414873,1.76562018147617,0.000128504791678662,2.2256804171186
"YOR095C",97.665471665388,217.341863487701,6.11550800143084e-09,2.22537054069975
"YLR153C",599.522185948995,1330.82499665879,1.64327672919555e-12,2.21980942131808
"YMR134W",39.5830545269992,87.589813166426,1.24777987566896e-07,2.21281086599019
"YJL019W",28.4706548955408,62.8981505754473,2.32079855131521e-13,2.20922738891049
"YMR305C",397.850446871183,878.603382245723,4.7334778068114e-13,2.20837600951646
"YPL278C",14.4763652784871,31.856838641181,7.38952858465567e-07,2.20061030709984
